post_text,date_first_posted,date_of_extract_last,n,condition,mean_reactions,mean_comments,mean_shares,mean_views,mean_reach,mean_impressions,link_clicks
Join CEC and Childhood Victori,2025-04-30T07:02:00Z,2025-04-22,53,BAU,4.943396226415095,0,2.3396226415094334,1651.3962264150944,1222.0566037735848,NA,3.3962264150943398
Join CEC and the Center on PBI,2025-05-02T11:02:00Z,2025-04-25,53,BAU,16.339622641509433,0,7,2257.9811320754716,1609.301886792453,NA,7.735849056603774
Join CEC next week for our qua,2025-05-27T14:15:00Z,2025-05-27,19,BAU,45.526315789473685,0,22.157894736842106,4656.8421052631575,3430.2631578947367,NA,99.63157894736842
Join CEC's Senior Policy and A,2025-04-07T07:25:00Z,2025-04-08,34,BAU,54.029411764705884,2,23.470588235294116,3973,2447.4117647058824,NA,30.794117647058822
"Join Stacie Dojonovic, Executi",2025-06-11T08:32:00Z,2025-06-19,13,BAU,10,0,9,2974.153846153846,2134.076923076923,NA,20
Join thousands of individuals,2025-07-16T13:01:00Z,2025-04-30,6,BAU,8,0,2,1292.1666666666667,904.6666666666666,NA,6.666666666666667
"Join us and Let's Go Learn, In",2025-04-22T15:01:00Z,2025-04-13,59,BAU,39.03389830508475,3.796610169491525,17.474576271186443,6279.254237288135,4258.1016949152545,NA,62.54237288135593
Join us on August 12 for an ex,2025-07-31T05:01:00Z,2025-07-31,1,BAU,12,1,11,1901,1418,NA,16
"Join us on May 2, 2025, for a",2025-04-01T07:52:00Z,2025-04-01,68,BAU,3.75,0,0,1206.6764705882354,863.2352941176471,NA,2.985074626865672
Join us tomorrow for an exciti,2025-03-18T12:02:00Z,2025-03-18,38,BAU,20.5,0,4.973684210526316,3520.9473684210525,2456.6315789473683,NA,15.552631578947368
Joining CEC changed the way I,2025-03-17T09:08:00Z,2025-03-18,38,BAU,705.7105263157895,75.60526315789474,372.2105263157895,66392.44736842105,36604.21052631579,NA,676.7368421052631
"Kenyon Andrews, Special Educat",2025-07-29T13:01:00Z,2025-07-29,2,BAU,13.5,0,1,1278,929,NA,3
"Last year, the Members Handica",2025-06-20T07:29:00Z,2025-06-20,12,BAU,31.083333333333332,2,3.6666666666666665,2452.25,1845.4166666666667,NA,8.5
Learn how the data published b,2025-07-10T13:01:00Z,2025-07-11,8,BAU,14,0,7.75,1886.25,1360.375,NA,5.5
Learn which areas saw the incr,2025-07-17T07:02:00Z,2025-04-30,6,BAU,11.666666666666666,0,3,2217.3333333333335,1512.1666666666667,NA,20.166666666666668
Manipulative-based instruction,2025-02-25T06:01:00Z,2025-02-28,42,TVA,90,1,37.5,8208.904761904761,5941.166666666667,4971.6,102.88095238095238
Many consider IDEA not just an,2025-07-22T13:01:00Z,2025-04-30,4,BAU,86.75,0,37.5,5387,3622.5,NA,17
March is Women's History Month,2025-03-04T10:00:00Z,2025-03-06,40,BAU,26.75,0,9,1909.9,1360.15,1122,NA
March marks National Developme,2025-03-05T12:00:00Z,2025-03-06,41,BAU,280.7560975609756,4,100.8048780487805,11201.731707317073,7331.268292682927,5112,23.48780487804878
Mark your calendars! CEC and t,2025-06-26T07:24:00Z,2025-06-27,10,BAU,21.2,0,7.8,1402.1,1246.9,NA,27.8
May is Asian American and Paci,2025-04-30T08:21:00Z,2025-05-02,26,BAU,24.76923076923077,0,7.923076923076923,3309.8076923076924,2448.230769230769,NA,NA
Meet CEC's Partner of the Mont,2025-06-17T07:34:00Z,2025-04-04,97,BAU,16.80412371134021,1.5876288659793805,1.8453608247422677,2456.1340206185573,1706.1340206185569,NA,8.24742268041237
Meet CEC's Partner of the mont,2025-07-01T11:01:00Z,2025-07-11,8,BAU,6,0,1,1269.625,908.875,NA,5
"Meet Grace Falleur, recipient",2025-06-24T07:29:00Z,2025-06-24,11,BAU,31,0.9090909090909091,4.909090909090909,2674.181818181818,1927.6363636363637,NA,8.727272727272727
"Meet Krishangi Shroff, CEC's 2",2025-06-12T07:03:00Z,2025-06-19,13,BAU,17,0,1,2092.923076923077,1582.6923076923076,NA,1
"Michael Craig, a Detroit teach",2025-07-21T08:14:00Z,2025-04-30,4,BAU,8,0,1,1736.5,1287,NA,6
Much of her work focuses on ur,2025-04-25T11:02:00Z,2025-04-25,25,BAU,25.16,3.84,1,2411.76,1730.64,NA,NA
Multidimensional assessment ca,2025-05-15T12:00:00Z,2025-05-16,24,TVA,7.416666666666667,0,2.875,1887.6666666666667,1519.4166666666667,NA,10.5
National Reading Month encoura,2025-03-10T09:27:00Z,2025-03-11,41,BAU,29.70731707317073,0,13.926829268292684,3090.5365853658536,2225.439024390244,NA,7.780487804878049
New from Stanford’s Accelerato,2025-07-25T09:01:00Z,2025-04-30,4,BAU,7.25,0,4.75,1520,1179,NA,5
Northwest Missouri State Unive,2025-05-15T13:02:00Z,2025-05-16,24,BAU,11.416666666666666,0,1.9583333333333333,2020.8333333333333,1551.125,NA,4.791666666666667
Not only does the Department o,2025-04-07T11:01:00Z,2025-04-08,34,BAU,137,11.970588235294118,52.85294117647059,8883.5,6021.058823529412,NA,43.588235294117645
"On May 30, the U.S. Department",2025-06-04T13:01:00Z,2025-06-05,16,BAU,59.75,0.8125,52.3125,6263.375,3960.625,NA,87
On the 249th anniversary of th,2025-07-04T09:01:00Z,2025-07-11,8,BAU,15,0,5,1393.5,958.75,NA,NA
Our CEC Learning Library has e,2025-07-17T13:01:00Z,2025-04-30,6,BAU,8.166666666666666,0,2.1666666666666665,1069.6666666666667,781.5,NA,5.833333333333333
"O’Donnell, with the support of",2025-06-13T08:16:00Z,2025-06-19,13,BAU,21.076923076923077,3,7,4450.461538461538,3249.6923076923076,NA,9
Paraeducators are critical to,2025-06-26T13:01:00Z,2025-06-27,10,BAU,105.6,4.6,56.4,10285.8,7143.3,NA,93.9
Pennsylvania recently launched,2025-03-07T08:55:00Z,2025-03-07,42,BAU,38.404761904761905,2,7.976190476190476,3877.5476190476193,2753.690476190476,NA,39.92857142857143
Planning is underway for #CEC2,2025-05-21T13:01:00Z,2025-05-23,21,BAU,12.285714285714286,0,0,1890.6666666666667,1627.8095238095239,NA,13.857142857142858
Pull out those planners and ge,2025-05-06T07:43:00Z,2025-05-08,27,BAU,14,0,1,2112.777777777778,1479.851851851852,NA,10
Read more about how students w,2025-07-29T09:02:00Z,2025-07-29,2,BAU,23.5,0.5,7.5,2123,1470.5,NA,12
Read more about the discussion,2025-07-28T07:25:00Z,2025-07-29,2,BAU,42,5,9.5,3445.5,2433,NA,9.5
Read more about the importance,2025-07-24T13:01:00Z,2025-04-30,4,BAU,14.25,0,8.5,2371.5,1690.25,NA,20
Read more about the project's,2025-07-18T07:03:00Z,2025-04-30,5,BAU,20,0,2.6,2322.2,1692.6,NA,14.6
Read more about the specifics,2025-07-23T09:02:00Z,2025-04-30,4,BAU,66.25,8,18,7347,5200,NA,71
Read more of the analysis of s,2025-07-08T11:01:00Z,2025-07-11,8,BAU,15.875,0,10.75,2748.25,1807.25,NA,51
Read our Q&A with Dr. Cathy Ke,2025-05-27T10:02:00Z,2025-05-27,19,BAU,6.684210526315789,1,1.9473684210526316,1876.157894736842,1553.9473684210527,NA,1
Ready to help individuals with,2025-07-25T13:01:00Z,2025-04-30,4,BAU,40.5,2,13.5,3785.5,2661.5,NA,42.75
Ready to make a difference for,2025-06-12T13:01:00Z,2025-06-19,13,BAU,29.923076923076923,1,6,2735.153846153846,1906.8461538461538,NA,12
Ready to share your expertise,2025-06-04T06:36:00Z,2025-06-05,16,BAU,9.875,0,1,2679.8125,1962.5625,NA,15.9375
Registration is now open for t,2025-04-10T08:39:00Z,2025-04-13,32,BAU,32.5,1.5625,8.34375,3600.21875,2584.34375,NA,43.90625
Registration is open for the L,2025-07-28T13:15:00Z,2025-07-29,2,BAU,10.5,0,3.5,1603.5,1159,NA,13
"Rummel added, “Moving IDEA pro",2025-03-24T12:22:00Z,2025-03-25,36,BAU,986.1944444444445,419.47222222222223,295.6388888888889,91402.52777777778,46023.555555555555,NA,1765.0277777777778
Shared story reading in math c,2025-06-17T12:00:00Z,2025-06-19,13,Text Only,7.3076923076923075,0,1.8461538461538463,993.2307692307693,701.6153846153846,NA,14.461538461538462
